dataset,classifier,score,nr_classes,nr_instances,log_nr_instances,nr_features,log_nr_features,missing_val,nr_categorical_features,dataset_ratio,labels_mean,labels_std,skew_min,skew_std,skew_mean,skew_q1,skew_q3,skew_max,kurtosis_min,kurtosis_std,kurtosis_mean,kurtosis_q1,kurtosis_q3,kurtosis_max,rho_min,rho_max,rho_mean,rho_std,class_entropy,prob_min,prob_mean,prob_std,prob_max,norm_entropy_min,norm_entropy_mean,norm_entropy_std,norm_entropy_max,mi_min,mi_mean,mi_std,mi_max,equiv_nr_feat,noise_signal_ratio
phpdo58hj,sgd,0.9375,2,64,4.158883083,4703,8.455955882,0,0,73.484375,0.0,0.0,0.0,2.168495156,6.393115392,5.518346671000001,8.0,8.0,-2.06557377,24.03243102,44.97961359,29.36940687,64.0,64.0,0.001042898,1.0,0.067385316,0.143676744,0.993650712,0.453125,0.5,0.046875,0.546875,0.019352513000000002,0.035566827999999995,0.029067364,0.166666667,8.45e-07,0.016213641,0.019377962,0.282711763,61.2848606,1.1936361
phpfLuQE4,k_nearest_neighbors,0.8769230769230769,2,2600,7.863266724,501,6.216606101,0,0,0.192692308,0.0,0.0,0.0,0.037384579,0.051562829000000004,0.019138561999999998,0.076665784,0.171753502,-2.001540239,0.21284273,0.079170073,0.02568646,0.179376492,0.573477694,1.14e-06,0.990367498,0.016051703,0.020066723999999998,1.0,0.5,0.5,0.0,0.5,0.114722546,0.222664881,0.012965556000000001,0.247995083,0.000265332,0.002241866,0.003172923,0.031133422,446.05690319999997,98.32120724
phpfrJpBS,gradient_boosting,1.0,4,12958,9.469468637,9,2.197224577,0,0,0.000694552,0.0,0.0,0.000141794,0.151666359,0.053874211,0.000248488,0.000283571,0.482851435,-2.000308666,0.191396134,-1.503851602,-1.5001736490000002,-1.359903527,-1.2998686590000001,9.449999999999999e-05,0.798477088,0.032361641000000003,0.132056304,1.7145838969999998,0.025312547999999997,0.25,0.129968701,0.333384782,0.073198106,0.125002034,0.027256491,0.169960737,0.002896963,0.11177262,0.213056128,0.664505145,15.33992754,0.118360061
phphQEck0,adaboost,0.9997551620011426,2,245057,12.40924612,4,1.386294361,0,0,1.63e-05,0.0,0.0,0.037671447999999996,0.522474251,0.611098059,0.26641027300000003,0.8268896440000001,1.442317071,-0.9154711609999999,0.39687271399999996,-0.5753171770000001,-0.877533617,-0.43082192799999997,0.080279189,0.092030092,0.85525042,0.465673415,0.276966399,0.7367531279999999,0.20753947,0.5,0.29246053,0.79246053,0.164478081,0.17049163899999997,0.004782383,0.176178833,0.069621737,0.127027169,0.070477205,0.22629203399999998,5.799964963,0.342166728
phpkIxskf,adaboost,0.9098469432893922,2,45211,10.719095699999999,17,2.833213344,0,9,0.000376015,4.8888888889999995,3.871389198,0.093079014,13.01669759,8.003352991,1.958814817,5.764064706,41.84645447,-1.0598973729999999,1481.33223,589.3614729,2.840749005,64.62512476,4506.86066,0.001203057,0.454819635,0.070503236,0.106623514,0.520631221,0.116984805,0.5,0.383015195,0.883015195,0.000397596,0.037196629,0.035781835,0.20998554100000003,3.55e-08,0.00408232,0.00783511,0.046046869000000004,127.53317879999999,8.111640231
phpmPOD5A,random_forest,0.9511778347369706,2,32769,10.39723823,10,2.3025850930000002,0,0,0.000305166,0.0,0.0,0.078071137,4.756455503,5.002323634,1.447011276,6.081667883,14.04583401,-1.4826217069999998,124.2771156,84.00406182,13.46217388,78.53724567,385.48352239999997,0.000185458,0.18059589,0.031126358,0.04739030599999999,0.319011748,0.057890079000000004,0.5,0.442109921,0.9421099209999999,0.004248849,0.058789982000000005,0.051495945,0.14841526900000002,0.000142471,0.0008598360000000001,0.0008993510000000001,0.0028249140000000004,371.01444960000003,67.3734464
phpmcGu2X,sgd,0.9666666666666668,9,1080,6.98471632,857,6.753437919,0,0,0.793518519,0.0,0.0,0.0,9.968755618,23.13535465,14.61498529,32.86335345,32.86335345,-1.259416834,423.0258728999999,635.7164812999999,211.99036710000001,1080.0,1080.0,1.53e-20,1.0,0.009761806999999999,0.051219957,3.169925001,0.111111111,0.111111111,0.0,0.111111111,0.0010584289999999998,0.005089757,0.009943984,0.119725971,0.0020379070000000003,0.011368801999999999,0.02721361,0.262624442,278.8266546,-0.552304909
phpn1jVwe,adaboost,0.9867668097281832,2,11183,9.322150047000001,7,1.9459101490000001,0,0,0.00062595,0.0,0.0,0.19721483199999998,3.0223959139999996,4.71255019,2.17035092,6.76752853,8.893965954,-1.805467724,60.83755506,59.22469232,7.072798361,100.4166657,163.3464964,0.005884810999999999,0.867820715,0.225900472,0.20269133399999997,0.15931642,0.023249575,0.5,0.476750425,0.976750425,0.010215005,0.06583609,0.054809857000000003,0.15354368300000001,0.00043956599999999996,0.013692669,0.012924033,0.031296937000000004,11.63516195,3.808126905
phpoOxxNn,extra_trees,0.8375,100,1599,7.377133712999999,65,4.17438727,0,0,0.040650407,0.0,0.0,5.9999999999999995e-05,1.484095519,3.094662501,2.239841642,3.537190405,8.900152681,-1.200158309,17.84899519,15.432054999999998,6.279053983,15.07929671,119.5265582,1.4499999999999998e-05,0.8065039540000001,0.157866633,0.134210563,6.64382767,0.009380863,0.01,6.22e-05,0.010006254000000001,0.02526221,0.11867083699999999,0.042238335999999994,0.220870503,0.031357191,0.070179116,0.022466958999999998,0.139345513,94.6695839,0.690970823
phpoW7Dbi,lda,1.0,2,1212,7.100027167,101,4.615120517,0,0,0.083333333,0.0,0.0,0.019827498,0.32137144100000004,3.2041875710000003,3.204321339,3.2538927810000002,3.3782160310000005,-2.00291474,1.389278971,10.88442484,10.65774739,11.15524057,12.66635377,0.023627022,0.9999992540000001,0.976286395,0.134421431,0.999929285,0.495049505,0.5,0.004950495,0.504950495,0.090190276,0.103380464,0.005014788,0.108161905,0.002032417,0.0047007329999999995,0.0013154870000000002,0.008754455,212.7177207,20.99241181
